"","SITECODE","PERIOD","Site_P","COMMENTS","Start","End","RANGE","MID"
"1","107BHS81",3,"107BHS81-3","AD 50-70",50,70,20,60
"2","107BHS81",4,"107BHS81-4","AD 70-100",70,100,30,85
"3","107BHS81",6,"107BHS81-6","AD 120-160",120,160,40,140
"4","107BHS81",9,"107BHS81-9","AD 270-350",270,350,80,310
"5","11STS77",10,"11STS77-10","AD 350+",350,410,60,380
"6","11STS77",3,"11STS77-3","AD 50-70",50,70,20,60
"7","11STS77",5,"11STS77-5","AD 100-120",100,120,20,110
"8","11STS77",6,"11STS77-6","AD 120-160",120,160,40,140
"9","11STS77",7,"11STS77-7","AD 160-200",160,200,40,180
"10","120BHS89",10,"120BHS89-10","AD 350+",350,410,60,380
"11","120BHS89",3,"120BHS89-3","AD 50-70",50,70,20,60
"12","120BHS89",4,"120BHS89-4","AD 70-100",70,100,30,85
"13","120BHS89",6,"120BHS89-6","AD 120-160",120,160,40,140
"14","124BHS77",10,"124BHS77-10","AD 350+",350,410,60,380
"15","124BHS77",3,"124BHS77-3","AD 50-70",50,70,20,60
"16","124BHS77",4,"124BHS77-4","AD 70-100",70,100,30,85
"17","170BHS79",3,"170BHS79-3","AD 50-70",50,70,20,60
"18","170BHS79",4,"170BHS79-4","AD 70-100",70,100,30,85
"19","170BHS79",6,"170BHS79-6","AD 120-160",120,160,40,140
"20","175BHS76",10,"175BHS76-10","AD 350+",350,410,60,380
"21","175BHS76",3,"175BHS76-3","AD 50-70",50,70,20,60
"22","175BHS76",4,"175BHS76-4","AD 70-100",70,100,30,85
"23","175BHS76",5,"175BHS76-5","AD 100-120",100,120,20,110
"24","175BHS76",6,"175BHS76-6","AD 120-160",120,160,40,140
"25","175BHS76",9,"175BHS76-9","AD 270-350",270,350,80,310
"26","179BHS89",10,"179BHS89-10","AD 350+",350,410,60,380
"27","179BHS89",3,"179BHS89-3","AD 50-70",50,70,20,60
"28","179BHS89",4,"179BHS89-4","AD 70-100",70,100,30,85
"29","179BHS89",6,"179BHS89-6","AD 120-160",120,160,40,140
"30","179BHS89",9,"179BHS89-9","AD 270-350",270,350,80,310
"31","213BHS77",10,"213BHS77-10","AD 350+",350,410,60,380
"32","213BHS77",3,"213BHS77-3","AD 50-70",50,70,20,60
"33","213BHS77",4,"213BHS77-4","AD 70-100",70,100,30,85
"34","213BHS77",6,"213BHS77-6","AD 120-160",120,160,40,140
"35","223BHS81",3,"223BHS81-3","AD 50-70",50,70,20,60
"36","223BHS81",4,"223BHS81-4","AD 70-100",70,100,30,85
"37","223BHS81",6,"223BHS81-6","AD 120-160",120,160,40,140
"38","223BHS81",7,"223BHS81-7","AD 160-200",160,200,40,180
"39","223BHS81",9,"223BHS81-9","AD 270-350",270,350,80,310
"40","22BHS88",10,"22BHS88-10","AD 350+",350,410,60,380
"41","22BHS88",3,"22BHS88-3","AD 50-70",50,70,20,60
"42","22BHS88",4,"22BHS88-4","AD 70-100",70,100,30,85
"43","22BHS88",5,"22BHS88-5","AD 100-120",100,120,20,110
"44","22BHS88",7,"22BHS88-7","AD 160-200",160,200,40,180
"45","22BHS88",8,"22BHS88-8","AD 200-270",200,270,70,235
"46","22BHS88",9,"22BHS88-9","AD 270-350",270,350,80,310
"47","239BHS87",3,"239BHS87-3","AD 50-70",50,70,20,60
"48","2SSBS85",10,"2SSBS85-10","AD 350+",350,410,60,380
"49","2SSBS85",3,"2SSBS85-3","AD 50-70",50,70,20,60
"50","2SSBS85",6,"2SSBS85-6","AD 120-160",120,160,40,140
"51","2SSBS85",8,"2SSBS85-8","AD 200-270",200,270,70,235
"52","2SSBS85",9,"2SSBS85-9","AD 270-350",270,350,80,310
"53","4STS82",10,"4STS82-10","AD 350+",350,410,60,380
"54","4STS82",3,"4STS82-3","AD 50-70",50,70,20,60
"55","4STS82",6,"4STS82-6","AD 120-160",120,160,40,140
"56","4STS82",7,"4STS82-7","AD 160-200",160,200,40,180
"57","4STS82",8,"4STS82-8","AD 200-270",200,270,70,235
"58","4STS82",9,"4STS82-9","AD 270-350",270,350,80,310
"59","89BHS75",3,"89BHS75-3","AD 50-70",50,70,20,60
"60","AB78",10,"AB78-10","1580-1650",1580,1650,70,1615
"61","AB78",3,"AB78-3","AD 50-70",50,70,20,60
"62","AB78",4,"AB78-4","AD 70-100",70,100,30,85
"63","AB78",7,"AB78-7","AD 160-200",160,200,40,180
"64","AB78",8,"AB78-8","AD 200-270",200,270,70,235
"65","AB78",9,"AB78-9","AD 270-350",270,350,80,310
"66","ABB87",10,"ABB87-10","The end of Fastolf Place and changes to the waterfront in the 17th C",1600,1700,100,1650
"67","ABB87",2,"ABB87-2","Activity in the Roman period",43,410,367,226.5
"68","ABB87",3,"ABB87-3","Activity from the 11th to the 13th C",1000,1300,300,1150
"69","ABB87",4,"ABB87-4","Dunley's Place and the Rosary in the 14th C",1324,1400,76,1362
"70","ABB87",5,"ABB87-5","Dunley's Place and the reclamation of the Thames waterfront in the late 14th and early 15th centuries",1350,1440,90,1395
"71","ABB87",6,"ABB87-6","Fastolf Place (the former Dunley's Place): its moats and river frontage in the mid 15th C",1440,1475,35,1457.5
"72","ABB87",7,"ABB87-7","Fastolf Place: waterfront development and the construction of a tidal mill, late 15th to early 16th C",1459,1550,91,1504.5
"73","ABB87",8,"ABB87-8","Fastolf Place: changes in the first half of the 16th C",1500,1550,50,1525
"74","ABB87",9,"ABB87-9","Fastolf Place: further changes to the moats and waterfronts in the late 16th C",1550,1600,50,1575
"75","ABO92",10,"ABO92-10","The end of Fastolf Place and changes to the waterfront in the 17th C",1600,1700,100,1650
"76","ABO92",2,"ABO92-2","Activity in the Roman period",43,410,367,226.5
"77","ABO92",3,"ABO92-3","Activity from the 11th to the 13th C",1000,1300,300,1150
"78","ABO92",4,"ABO92-4","Dunley's Place and the Rosary in the 14th C",1324,1400,76,1362
"79","ABO92",5,"ABO92-5","Dunley's Place and the reclamation of the Thames waterfront in the late 14th and early 15th centuries",1350,1440,90,1395
"80","ABO92",6,"ABO92-6","Fastolf Place (the former Dunley's Place): its moats and river frontage in the mid 15th C",1440,1475,35,1457.5
"81","ABO92",7,"ABO92-7","Fastolf Place: waterfront development and the construction of a tidal mill, late 15th to early 16th C",1459,1550,91,1504.5
"82","ABO92",8,"ABO92-8","Fastolf Place: changes in the first half of the 16th C",1500,1550,50,1525
"83","ABO92",9,"ABO92-9","Fastolf Place: further changes to the moats and waterfronts in the late 16th C",1550,1600,50,1575
"84","ABP94",10,"ABP94-10","PERIOD P1, DATED 1540-1650, DISSOLUTION (BRIEF REFOUNDING) AND POST-MED MANSIONS",1540,1650,110,1595
"85","ABP94",2,"ABP94-2","DATED 40-400, ROMAN ACTIVITY",40,400,360,220
"86","ABP94",5,"ABP94-5","PERIOD M2, DATED 1144-1185, FIRST PERIOD OF PRIORY",1144,1185,41,1164.5
"87","ABP94",6,"ABP94-6","PERIOD M3, DATED 1185-1270, SECOND PHASE OF PRIORY",1185,1270,85,1227.5
"88","ABP94",7,"ABP94-7","PERIOD M4, DATED 1270-1330, THIRD PHASE OF PRIORY",1270,1330,60,1300
"89","ABP94",8,"ABP94-8","PERIOD M5, DATED 1330-1480, FOURTH PHASE OF PRIORY",1330,1480,150,1405
"90","ABP94",9,"ABP94-9","PERIOD M6, DATED 1480-1540
FIFTH PHASE OF PRIORY",1480,1540,60,1510
"91","ACT89",2,"ACT89-2","ALLUVIUM AND RECLAMATION, MED AND PM - PRE GLOBE USAGE
C PRE 1599",1250,1599,349,1424.5
"92","ACT89",3,"ACT89-3","THEATRE USAGE OF SITE - GLOBE, GLOBE ESTATE AND LOMBARD'S GARDEN C 1599 TO MID 1640'S",1599,1642,43,1620.5
"93","ACT89",4,"ACT89-4","The Globe site in the later 17th, 18th, and early 19th Cs",1642,1850,208,1746
"94","ACT91",3,"ACT91-3","GLOBE USAGE OF THE SITE OR CLOSE ENOUGH TO IT",1599,1642,43,1620.5
"95","AEB01",2,"AEB01-2","EXTERNAL SOIL 1680-1710 OA2",1680,1710,30,1695
"96","AEB01",3,"AEB01-3","FEATURES BUILT UPON OR CUT INTO OA2 OF PERIOD 2 Urban development in the 19th C, c 1800-70",1800,1870,70,1835
"97","AEB01",4,"AEB01-4","EXTERNAL DUMP, LAID BEFORE CONSTR OF POTHOUSE Part of period 3 in ASS15? Urban development in the 19th C, c 1800-70",1800,1870,70,1835
"98","AEB01",5,"AEB01-5","POTHOUSE: BUILDING, STRUCTURES (KILNS, FLUES, CHIMNEYS) Period 6 in ASS15? Doulton's stoneware pothouse, c 1870-1926",1870,1926,56,1898
"99","AEB01",6,"AEB01-6","DISUSE OF POTHOUSE: BACKFILLS OF FLUES, KILNS AND CHIMNEYS",1926,2001,75,1963.5
"100","ALB89",10,"ALB89-10","PERIOD P1, DATED 1540-1650, DISSOLUTION (BRIEF REFOUNDING) AND POST-MED MANSIONS",1540,1650,110,1595
"101","ALB89",3,"ALB89-3","PERIOD S1, EARLY SAXON (450-550) MAINLY RUBBISH PITS",450,550,100,500
"102","ALB89",5,"ALB89-5","PERIOD M2, 1144-1185, FIRST PHASE OF PRIORY - ROUND NAVE ETC",1144,1185,41,1164.5
"103","ALB89",8,"ALB89-8","PERIOD M5, 1330-1480, FOURTH PHASE OF PRIORY",1330,1480,150,1405
"104","ASS90",10,"ASS90-10","PERIOD P1, DATED 1540-1650, DISSOLUTION (BRIEF REFOUNDING) AND POST-MED MANSIONS",1540,1650,110,1595
"105","ASS90",5,"ASS90-5","PERIOD M2, 1144-1185, FIRST PHASE OF PRIORY - ROUND NAVE ETC",1144,1185,41,1164.5
"106","ASS90",6,"ASS90-6","PERIOD M3, DATED 1185-1270, SECOND PHASE OF PRIORY",1185,1270,85,1227.5
"107","ASS90",7,"ASS90-7","PERIOD M4, DATED 1270-1330, THIRD PHASE OF PRIORY",1270,1330,60,1300
