"","SITECODE","PERIOD","Site_P","COMMENTS","Start","End","RANGE","MID"
"1","107BHS81",1,"107BHS81-1","Natural",NA,NA,NA,NA
"2","11STS77",0,"11STS77-0","",NA,NA,NA,NA
"3","11STS77",1,"11STS77-1","Natural",NA,NA,NA,NA
"4","120BHS89",0,"120BHS89-0","",NA,NA,NA,NA
"5","120BHS89",1,"120BHS89-1","Natural",NA,NA,NA,NA
"6","120BHS89",2,"120BHS89-2","Pre-Roman activity to c. AD 50",NA,50,NA,NA
"7","124BHS77",0,"124BHS77-0","",NA,NA,NA,NA
"8","124BHS77",1,"124BHS77-1","Natural",NA,NA,NA,NA
"9","124BHS77",2,"124BHS77-2","Pre-Roman activity to c. AD 50",NA,50,NA,NA
"10","170BHS79",0,"170BHS79-0","",NA,NA,NA,NA
"11","175BHS76",0,"175BHS76-0","",NA,NA,NA,NA
"12","179BHS89",0,"179BHS89-0","",NA,NA,NA,NA
"13","213BHS77",0,"213BHS77-0","",NA,NA,NA,NA
"14","223BHS81",1,"223BHS81-1","Natural",NA,NA,NA,NA
"15","223BHS81",2,"223BHS81-2","Pre-Roman activity to c. AD 50",NA,50,NA,NA
"16","22BHS88",0,"22BHS88-0","",NA,NA,NA,NA
"17","22BHS88",1,"22BHS88-1","Natural",NA,NA,NA,NA
"18","239BHS87",1,"239BHS87-1","Natural",NA,NA,NA,NA
"19","2SSBS85",1,"2SSBS85-1","Natural",NA,NA,NA,NA
"20","38ALB89",0,"38ALB89-0","",NA,NA,NA,NA
"21","89BHS75",0,"89BHS75-0","",NA,NA,NA,NA
"22","AB78",2,"AB78-2","Pre-Roman activity to c. AD 50",NA,50,NA,NA
"23","ABB87",0,"ABB87-0","",NA,NA,NA,NA
"24","ABB87",1,"ABB87-1","Topography and prehistoric activity",NA,43,NA,NA
"25","ABK00",1,"ABK00-1","OA1: ALLUVIAL GRAVELS",NA,NA,NA,NA
"26","ABK00",2,"ABK00-2","OA2: CLEAN, UNWORKED EXTERNAL SUB SOILS",NA,NA,NA,NA
"27","ABK00",3,"ABK00-3","OA3: DUMPS WITH POT WASTE, WITH EARLIEST BUILDINGS ON SITE CONSTR UPON THE OPEN AREA",NA,NA,NA,NA
"28","ABK00",4,"ABK00-4","OA4: DISTURBED EXTERNAL SOILS AND THE BUILDINGS AND STRUCTURES CONSTR UPON THEM",NA,NA,NA,NA
"29","ABK00",5,"ABK00-5","BACKFILLING OF ALL FEATURES IN PERIOD 4, LATEST LEVELLING OF THE SITE",NA,NA,NA,NA
"30","ABK00",6,"ABK00-6","",NA,NA,NA,NA
"31","ABO92",0,"ABO92-0","",NA,NA,NA,NA
"32","ABO92",1,"ABO92-1","Topography and prehistoric activity",NA,43,NA,NA
"33","ACT89",1,"ACT89-1","NATURAL DEPOSITION",NA,NA,NA,NA
"34","AEB01",1,"AEB01-1","ALLUVIAL GRAVELS OA1",NA,NA,NA,NA
"35","AEB01",7,"AEB01-7","MODERN OR UNSTRAT FEATURES",NA,NA,NA,NA
